        lam      L     C   block f32 vs f64   seq f32 vs f64   doubling f32 vs f64
        0.9   1000    16          1.570e-01        1.129e-03             3.105e+05
        0.9   1000    64          4.497e+00        1.129e-03             3.105e+05
        0.9   1000   256          1.060e+00        1.129e-03             3.105e+05
        0.9   4000    16          2.628e-01        2.058e-03             3.158e+21
        0.9   4000    64          8.005e+02        2.058e-03             3.158e+21
        0.9   4000   256          5.605e+00        2.058e-03             3.158e+21
  0.5+0.25j   1000    16          1.311e-02        1.413e-04             3.830e+00
  0.5+0.25j   1000    64          1.831e-02        1.413e-04             3.830e+00
  0.5+0.25j   1000   256          8.780e-02        1.413e-04             3.830e+00
  0.5+0.25j   4000    16          7.960e-03        2.633e-04             4.999e+03
  0.5+0.25j   4000    64          4.072e-02        2.633e-04             4.999e+03
  0.5+0.25j   4000   256          1.070e-01        2.633e-04             4.999e+03
