         lam      L   max||H^2^k||_F   predicted tol   observed rel   resid scan  resid oracle   grad rel
   0.5+0.25j      3       1.7664e+01       7.845e-15      2.108e-16    2.108e-16     0.000e+00  0.000e+00
   0.5+0.25j     17       1.7149e+02       1.904e-13      6.600e-13    1.660e-13     0.000e+00  2.897e-15
   0.5+0.25j    257       1.0871e+03       2.172e-12      6.202e-09    1.276e-09     0.000e+00  2.671e-10
   0.5+0.25j   1000       1.0871e+03       2.414e-12      1.543e-07    1.645e-08     0.000e+00  9.628e-09
         0.9      3       3.1746e+01       1.410e-14      0.000e+00    0.000e+00     0.000e+00  0.000e+00
         0.9     17       8.7493e+02       9.714e-13      3.576e-13    3.324e-13     0.000e+00  1.239e-13
         0.9    257       7.4725e+03       1.493e-11      9.884e-07    4.609e-08     0.000e+00  4.389e-09
         0.9   1000       7.4725e+03       1.659e-11      2.177e-04    2.088e-06     0.000e+00  2.134e-05
   -0.6+0.4j      3       5.7229e+00       2.541e-15      1.598e-16    1.598e-16     0.000e+00  0.000e+00
   -0.6+0.4j     17       4.2679e+01       4.738e-14      1.731e-14    1.192e-14     0.000e+00  1.871e-14
   -0.6+0.4j    257       2.6234e+02       5.243e-13      7.989e-11    8.761e-12     0.000e+00  8.103e-10
   -0.6+0.4j   1000       2.6234e+02       5.825e-13      3.505e-09    2.569e-10     0.000e+00  9.975e-11
