         lam      L        kappa   eps*kappa*log2L   observed rel  ratio obs/pred
   0.5+0.25j      3   4.3549e+00         1.934e-15      2.108e-16           0.109
   0.5+0.25j     17   5.9127e+07         6.564e-08      5.287e-14           0.000
   0.5+0.25j    257  8.9005e+128        1.779e+114      3.975e-10           0.000
   0.5+0.25j   1000          inf               inf      5.324e-09           0.000
         0.9      3   3.0868e+00         1.371e-15      0.000e+00           0.000
         0.9     17   7.4583e+08         8.280e-07      1.270e-13           0.000
         0.9    257  7.1696e+144        1.433e+130      1.593e-08           0.000
         0.9   1000          inf               inf      5.049e-07           0.000
   -0.6+0.4j      3   2.7864e+00         1.237e-15      1.598e-16           0.129
   -0.6+0.4j     17   1.5063e+05         1.672e-10      8.587e-15           0.000
   -0.6+0.4j    257   6.7822e+78         1.355e+64      6.548e-12           0.000
   -0.6+0.4j   1000  7.9387e+306        1.763e+292      1.495e-10           0.000

max observed/predicted ratio = 0.129  (a safety factor of 8 covers every case here)
