         lam       L   rel err scan vs oracle  digits kept
         0.9     257                1.726e-08          7.8
         0.9    1000                4.401e-07          6.4
         0.9    2000                3.512e-06          5.5
         0.9    4000                4.223e-06          5.4
         0.9    8000                3.679e-06          5.4
         0.9   16000                3.481e-06          5.5
   0.5+0.25j     257                3.495e-10          9.5
   0.5+0.25j    1000                4.882e-09          8.3
   0.5+0.25j    2000                1.597e-08          7.8
   0.5+0.25j    4000                2.271e-08          7.6
   0.5+0.25j    8000                2.921e-08          7.5
   0.5+0.25j   16000                2.257e-08          7.6
